income,loan_amount,credit_score,credit_utilization,delinquencies,repayment_score,employment_years,dti,ltv,employment_type,loan_purpose,defaulted
29501.48,23601.18,658,0.345,0,74.0,11.6,0.2762,0.2426,Self-employed,Business,0
127290.31,11633.43,622,0.4778,0,77.6,1.3,0.049,0.05,Full-time,Education,0
31886.48,25509.18,713,0.2651,0,91.0,8.8,0.2519,0.1869,Full-time,Education,0
84583.87,24147.17,623,0.3454,0,80.5,8.3,0.0979,0.1099,,Debt Consolidation,0
43168.51,2295.2,523,0.4898,0,52.3,5.3,0.0945,0.05,Self-employed,Major Purchase,1
65694.43,32939.73,696,0.3276,0,68.6,7.7,0.1562,0.1761,Full-time,Home Improvement,0
24605.47,19684.38,693,0.1182,0,61.2,3.0,0.2266,0.3015,Full-time,Home Improvement,0
94753.7,32194.4,607,0.382,0,95.1,8.2,0.1106,0.1898,Full-time,Business,0
54657.09,3344.19,668,0.1453,1,84.1,2.6,0.0558,0.05,Unemployed,Home Improvement,0
79106.62,2229.15,742,0.3479,1,80.8,0.5,0.0536,0.05,Full-time,Debt Consolidation,0
40470.78,32376.62,630,0.4998,1,43.8,7.5,0.3106,0.2733,Full-time,Education,1
19165.65,13544.07,674,0.1232,1,82.9,8.7,0.2785,0.2171,Full-time,Major Purchase,0
62772.23,2602.74,708,0.2234,0,74.7,6.4,0.0356,0.05,Full-time,Debt Consolidation,0
49049.93,2047.84,577,0.1442,0,52.2,2.6,0.0312,0.05,Part-time,Major Purchase,0
97604.48,5540.17,573,0.3286,1,69.8,2.5,0.0502,0.05,Full-time,Debt Consolidation,0
21789.07,8452.54,630,0.1654,1,61.7,3.3,0.2028,0.1346,Full-time,Home Improvement,0
143212.6,3001.15,763,0.0854,0,83.5,7.4,0.01,0.05,Full-time,Debt Consolidation,0
55548.93,15332.93,560,0.4302,0,64.2,4.7,0.122,0.1074,Full-time,Debt Consolidation,1
38111.52,15712.67,679,0.2216,0,69.9,3.4,0.1408,0.1091,Full-time,Home Improvement,0
79165.09,7207.16,795,0.0578,1,81.4,10.1,0.0423,0.05,Part-time,Debt Consolidation,0
61053.91,26751.39,649,0.1596,0,47.2,9.0,0.124,0.1787,Part-time,Debt Consolidation,0
54803.12,10777.51,700,0.2255,0,83.9,3.2,0.0768,0.0538,Part-time,Major Purchase,0
57097.56,25275.48,640,0.3558,1,76.7,5.8,0.1721,0.1532,Full-time,Debt Consolidation,0
59858.88,5913.79,702,0.094,0,81.4,3.4,0.035,0.05,Full-time,Debt Consolidation,0
30648.83,24304.4,623,0.3856,2,60.6,5.9,0.3592,0.2889,Full-time,Education,1
83383.78,30711.92,537,0.117,1,38.3,4.7,0.1129,0.124,Full-time,Debt Consolidation,1
39640.45,10846.2,784,0.0857,1,67.5,11.1,0.1115,0.1023,Part-time,Home Improvement,0
131603.42,47435.47,617,0.4783,0,89.8,2.9,0.1127,0.1044,Self-employed,Debt Consolidation,0
109933.86,15125.23,725,0.257,1,93.8,2.2,0.0608,0.0688,Part-time,Debt Consolidation,0
30725.35,8537.08,735,0.131,0,95.2,13.7,0.0974,0.092,Full-time,Debt Consolidation,0
77902.44,6144.17,505,0.2555,2,30.2,6.5,0.0734,0.05,Full-time,Debt Consolidation,1
108488.01,2023.32,608,0.2257,0,84.9,10.2,0.0195,0.05,Full-time,Debt Consolidation,0
26504.06,11773.96,702,0.3337,0,64.0,9.3,0.1973,0.2503,Full-time,Debt Consolidation,0
24202.97,19362.37,598,0.3977,0,71.1,6.7,0.3103,0.2874,Full-time,Debt Consolidation,0
65540.99,42251.47,635,0.4957,0,44.7,14.5,0.2092,0.1909,Full-time,Debt Consolidation,0
82051.89,13424.2,614,0.1302,0,79.3,3.2,0.0507,0.0544,Full-time,Debt Consolidation,0
94697.56,12730.05,618,0.1154,0,89.5,3.3,0.041,0.0529,Full-time,Home Improvement,0
49517.54,15051.72,559,0.6206,0,52.2,1.8,0.1632,0.1294,Self-employed,Education,1
116602.63,22015.45,564,0.2621,1,78.7,7.0,0.0718,0.0599,Full-time,Major Purchase,0
25271.53,2149.9,568,0.0315,0,53.3,9.0,0.0294,0.05,Full-time,Education,0
29773.86,4625.71,736,0.4589,2,74.9,3.9,0.2289,0.0822,Full-time,Debt Consolidation,0
47410.66,37928.53,629,0.3038,0,57.8,3.2,0.2381,0.3236,Self-employed,Debt Consolidation,1
45230.42,10476.15,479,0.1255,0,57.9,6.2,0.0756,0.1097,Self-employed,Major Purchase,0
20000.94,7294.97,586,0.1284,0,81.4,0.8,0.1338,0.1121,Full-time,Home Improvement,0
81642.83,21447.77,688,0.1994,0,85.1,5.1,0.0806,0.1223,,Debt Consolidation,0
86119.03,12063.81,850,0.2015,0,100.0,10.8,0.0505,0.0892,Full-time,Debt Consolidation,0
16806.15,8123.95,725,0.1532,0,89.3,8.0,0.1817,0.1801,Full-time,Debt Consolidation,0
52441.97,7180.04,697,0.5217,0,81.4,0.8,0.1045,0.05,Unemployed,Debt Consolidation,0
42453.62,14005.14,657,0.5043,1,82.5,8.4,0.193,0.1149,Full-time,Debt Consolidation,0
48738.26,3779.51,594,0.4874,1,52.1,4.8,0.1152,0.05,Full-time,Home Improvement,0
161014.88,2230.27,676,0.3478,0,51.7,3.9,0.0189,0.05,Full-time,Debt Consolidation,0
117806.19,70093.48,700,0.1732,0,80.0,5.8,0.1534,0.1512,Full-time,Major Purchase,0
59929.33,6558.33,696,0.6361,0,73.8,1.2,0.1027,0.0679,,Education,0
77868.33,9104.3,624,0.1617,0,74.8,7.5,0.043,0.05,Part-time,Debt Consolidation,0
37491.32,19156.08,598,0.0633,0,49.1,9.1,0.1348,0.208,Full-time,Debt Consolidation,0
38131.55,30505.24,780,0.0889,0,100.0,9.6,0.2088,0.2101,Self-employed,Debt Consolidation,0
65612.62,20268.1,664,0.3621,0,71.4,5.3,0.1139,0.1641,Full-time,Debt Consolidation,0
23317.71,18654.16,591,0.1551,0,60.8,2.5,0.2399,0.2566,Full-time,Home Improvement,0
45549.79,36439.83,778,0.2139,0,71.7,5.4,0.2258,0.2947,Part-time,Home Improvement,0
32014.98,4587.54,644,0.3249,0,70.3,12.0,0.1075,0.05,Full-time,Debt Consolidation,0
47232.34,11539.34,723,0.1255,0,89.4,1.2,0.0778,0.104,Full-time,Business,0
28704.66,6482.58,628,0.4761,1,67.7,8.1,0.2154,0.0827,Part-time,Debt Consolidation,0
49157.91,29148.74,730,0.6768,0,74.8,3.7,0.2414,0.156,Full-time,Home Improvement,0
38834.97,15316.9,712,0.5398,1,73.1,4.4,0.2256,0.155,Full-time,Debt Consolidation,0
92496.58,7632.67,743,0.2885,2,86.0,6.7,0.0682,0.05,Full-time,Debt Consolidation,0
80722.68,7234.56,621,0.0964,0,72.1,4.7,0.0301,0.0546,Full-time,Debt Consolidation,0
29885.42,12413.32,621,0.197,0,56.9,8.4,0.1472,0.2341,Full-time,Debt Consolidation,0
47546.34,16944.25,730,0.3789,0,73.4,8.1,0.1429,0.1446,Full-time,Major Purchase,0
52475.14,10534.94,702,0.3699,0,86.8,2.2,0.0989,0.0663,Full-time,Business,0
45038.85,36031.08,673,0.2049,1,100.0,4.4,0.2514,0.3622,Full-time,Education,0
220103.47,4865.83,820,0.1199,0,82.9,5.7,0.01,0.05,Full-time,Debt Consolidation,0
30037.62,4026.31,610,0.143,2,40.8,5.7,0.1464,0.05,Full-time,Debt Consolidation,1
69294.12,8841.29,655,0.4178,1,71.1,2.6,0.0914,0.05,Full-time,Debt Consolidation,1
33651.26,18545.94,669,0.3027,0,56.7,4.6,0.197,0.1879,Part-time,Home Improvement,0
41569.1,7316.83,720,0.0911,2,82.7,7.9,0.1158,0.0525,Full-time,Education,0
34018.79,26176.42,648,0.6144,1,40.0,9.2,0.35,0.3186,Full-time,Business,1
98891.16,12194.43,526,0.3629,0,51.7,3.6,0.056,0.0571,Full-time,Business,0
72398.55,15938.69,641,0.3899,0,79.9,5.0,0.0916,0.0631,Unemployed,Debt Consolidation,0
49323.98,3234.23,718,0.0999,0,98.7,4.9,0.0303,0.05,Full-time,Major Purchase,0
25225.18,3141.4,665,0.3728,0,77.2,2.4,0.1363,0.05,Full-time,Debt Consolidation,0
73547.42,5742.07,850,0.4396,0,98.9,3.8,0.0618,0.05,Full-time,Education,0
57393.28,18606.42,632,0.2807,2,83.3,7.5,0.1548,0.0949,Full-time,Debt Consolidation,0
91101.0,4018.79,715,0.1004,0,77.4,6.5,0.0185,0.05,Self-employed,Debt Consolidation,0
54049.12,23594.23,632,0.5729,1,64.8,11.1,0.2033,0.1403,Part-time,Debt Consolidation,0
68460.99,33368.93,707,0.0327,0,79.2,3.8,0.1204,0.2741,Full-time,Debt Consolidation,0
55645.05,42056.62,665,0.343,1,83.3,4.8,0.2473,0.2145,Full-time,Major Purchase,0
61487.85,11424.47,565,0.2127,1,58.5,4.0,0.089,0.0694,Full-time,Home Improvement,0
31371.63,25097.3,634,0.2848,0,83.8,6.7,0.2574,0.2354,Self-employed,Debt Consolidation,0
50444.7,35811.12,763,0.1432,0,100.0,5.9,0.1908,0.2344,Full-time,Debt Consolidation,0
32414.43,17062.46,817,0.2006,0,60.5,6.2,0.1709,0.1271,Full-time,Education,0
154738.92,34032.73,784,0.0352,0,93.1,8.7,0.0544,0.1015,Full-time,Debt Consolidation,0
68462.31,10381.99,639,0.216,0,79.0,4.9,0.0591,0.0689,Self-employed,Business,0
40485.4,32388.32,680,0.3184,0,74.7,5.7,0.2486,0.2617,Full-time,Debt Consolidation,0
131727.66,2382.32,719,0.4697,2,84.9,10.0,0.0482,0.05,Part-time,Debt Consolidation,0
57517.85,15150.54,559,0.4023,0,26.7,2.7,0.1136,0.0837,Full-time,Debt Consolidation,1
24529.97,19623.97,554,0.1609,0,54.0,6.3,0.2392,0.2072,Unemployed,Debt Consolidation,1
30409.75,13958.77,744,0.2794,0,99.3,10.5,0.1763,0.232,Unemployed,Home Improvement,0
64672.73,28481.46,761,0.0748,0,96.3,7.5,0.114,0.1671,,Major Purchase,0
52340.31,11879.35,599,0.0788,0,68.8,5.3,0.0653,0.0606,Part-time,Major Purchase,0
47661.79,4587.3,518,0.4302,0,50.0,7.7,0.0881,0.05,Full-time,Education,0
171976.06,42985.18,698,0.3422,1,100.0,6.1,0.0813,0.0942,Full-time,Debt Consolidation,0
65664.32,52531.46,619,0.3394,0,31.3,12.4,0.2292,0.327,Full-time,Debt Consolidation,1
104970.79,36769.17,675,0.0938,0,58.7,4.4,0.0905,0.1122,Part-time,Debt Consolidation,0
50385.88,13317.52,690,0.316,1,85.4,2.6,0.1324,0.126,Full-time,Education,0
59281.13,6997.29,705,0.4439,0,68.8,5.5,0.0822,0.0545,Full-time,Business,0
85247.52,11347.4,723,0.5237,0,76.3,5.4,0.0762,0.0713,Full-time,Business,0
65271.82,3339.41,652,0.2604,0,71.7,3.9,0.041,0.05,Full-time,Education,0
36409.37,15276.05,646,0.059,0,39.3,1.5,0.1124,0.1079,Full-time,Debt Consolidation,0
71752.82,26785.37,764,0.3965,0,100.0,3.2,0.1294,0.115,Full-time,Home Improvement,1
103741.24,10547.78,649,0.2954,0,56.5,6.1,0.0449,0.05,Full-time,Home Improvement,0
52822.77,17438.69,708,0.3646,0,73.1,8.1,0.1289,0.0996,Full-time,Home Improvement,0
37973.79,9113.29,714,0.4234,0,76.8,8.7,0.1379,0.1064,Full-time,Debt Consolidation,0
112472.45,37509.61,652,0.1909,0,71.1,6.9,0.0923,0.1577,Full-time,Business,0
50993.43,40794.74,770,0.2544,0,87.5,2.9,0.2279,0.3098,Part-time,Home Improvement,0
31722.93,25378.35,654,0.3352,0,75.6,6.6,0.2681,0.369,Full-time,Debt Consolidation,1
51561.96,26192.65,676,0.3399,1,57.2,7.7,0.1927,0.1581,Full-time,Education,0
41346.78,24019.64,659,0.2198,0,75.8,8.2,0.1777,0.2148,Full-time,Business,0
64222.89,30118.27,630,0.1204,2,64.9,3.3,0.1634,0.1149,Full-time,Education,0
75734.27,4954.09,689,0.4657,0,92.7,9.0,0.06,0.05,Full-time,Debt Consolidation,0
38542.03,15011.89,645,0.3652,0,80.4,5.7,0.1617,0.2242,Part-time,Major Purchase,0
63049.78,14719.27,724,0.0655,0,73.3,6.7,0.0635,0.117,Full-time,Major Purchase,0
26980.47,21584.38,749,0.148,0,63.8,8.0,0.2315,0.2393,Full-time,Debt Consolidation,1
42945.17,4221.65,597,0.0276,0,55.8,0.6,0.0282,0.05,Full-time,Debt Consolidation,0
62201.42,11845.36,655,0.4141,0,74.5,12.0,0.0936,0.0527,Self-employed,Home Improvement,0
45561.3,36449.04,808,0.2105,0,67.9,4.2,0.2253,0.3929,Full-time,Debt Consolidation,0
32537.6,26030.08,627,0.2135,1,73.2,3.0,0.2761,0.2639,Full-time,Debt Consolidation,0
127329.55,13665.36,550,0.3191,1,66.9,13.7,0.0532,0.0592,Full-time,Debt Consolidation,0
55600.94,22900.25,752,0.6942,0,88.8,2.4,0.1887,0.1138,Full-time,Home Improvement,0
90234.13,3862.01,708,0.2496,1,53.5,6.5,0.0435,0.05,Self-employed,Business,0
52346.53,4545.29,755,0.3526,1,97.0,7.4,0.0923,0.05,Full-time,Major Purchase,0
53031.57,25540.41,671,0.3774,1,57.3,12.3,0.1895,0.2286,Full-time,Home Improvement,0
36861.68,18716.35,650,0.4035,0,74.5,17.5,0.2007,0.1627,Full-time,Debt Consolidation,0
26969.02,21575.22,597,0.1167,0,50.9,2.2,0.2232,0.2415,Full-time,Education,1
60955.07,22130.58,608,0.2369,1,73.6,3.7,0.1348,0.1089,Part-time,Debt Consolidation,0
48518.31,19822.8,516,0.1342,1,32.3,1.0,0.1427,0.0976,Full-time,Debt Consolidation,1
82046.63,11783.99,683,0.1942,1,70.3,3.3,0.0661,0.0515,Full-time,Debt Consolidation,0
31337.89,25070.31,656,0.1846,0,92.5,6.2,0.2344,0.3236,Part-time,Business,0
92655.09,13164.41,634,0.1918,1,62.6,11.2,0.062,0.05,Full-time,Debt Consolidation,0
165911.51,52073.96,564,0.0285,0,11.9,6.9,0.0766,0.0828,Full-time,Debt Consolidation,0
150332.54,20622.97,651,0.113,0,63.4,6.0,0.0383,0.0718,Full-time,Debt Consolidation,0
43605.05,6948.83,636,0.1251,0,100.0,3.8,0.0589,0.05,Full-time,Education,0
44950.65,9537.65,673,0.4261,0,77.9,6.0,0.1192,0.0768,Part-time,Debt Consolidation,0
71719.23,3872.46,683,0.2753,0,72.8,10.0,0.0406,0.05,Full-time,Debt Consolidation,0
68170.11,21728.72,580,0.4449,1,53.8,4.4,0.1411,0.0923,Full-time,Debt Consolidation,1
32671.2,16648.15,761,0.2806,0,86.7,1.2,0.1841,0.1468,Part-time,Home Improvement,0
49273.9,15051.94,806,0.7164,0,100.0,5.0,0.178,0.0809,Self-employed,Debt Consolidation,0
192951.75,29180.9,588,0.131,0,65.6,3.2,0.0412,0.05,Full-time,Debt Consolidation,0
100944.55,14868.26,602,0.163,0,72.5,4.2,0.047,0.091,Full-time,Debt Consolidation,0
51568.93,6906.96,697,0.108,0,63.3,4.8,0.0472,0.0508,Full-time,Debt Consolidation,0
71677.13,10066.02,620,0.6016,0,66.4,6.2,0.0941,0.05,Full-time,Debt Consolidation,0
71520.5,6974.81,565,0.1935,0,79.2,3.4,0.0429,0.05,Full-time,Debt Consolidation,0
65127.8,9691.53,723,0.1725,1,71.6,7.8,0.0732,0.0847,Full-time,Debt Consolidation,0
31465.06,6858.93,687,0.216,0,78.3,3.2,0.1017,0.091,Self-employed,Education,0
27904.51,21493.15,511,0.1852,0,52.4,2.4,0.2327,0.2321,Part-time,Education,1
60805.96,27111.89,675,0.3108,1,89.9,10.9,0.1636,0.2382,Full-time,Debt Consolidation,0
21651.79,17321.44,687,0.4215,0,84.0,9.9,0.3322,0.2001,Self-employed,Home Improvement,0
83998.34,24132.26,660,0.5058,0,76.2,4.8,0.1123,0.0815,Self-employed,Debt Consolidation,0
54032.75,12711.13,713,0.3069,0,75.7,9.9,0.0974,0.1096,,Business,0
68497.24,6637.16,710,0.3004,2,87.6,13.6,0.0899,0.0528,Full-time,Debt Consolidation,0
105438.36,10043.34,734,0.3175,0,89.3,10.0,0.0445,0.0613,Part-time,Debt Consolidation,0
44122.24,35297.79,520,0.4889,0,48.3,3.6,0.2718,0.3384,Full-time,Business,1
70826.22,32774.09,746,0.245,3,74.9,5.2,0.1868,0.2326,Full-time,Debt Consolidation,0
46810.19,27726.88,645,0.3066,0,76.1,17.9,0.1893,0.2098,Full-time,Major Purchase,0
54970.13,19426.01,732,0.4465,0,100.0,4.9,0.1433,0.0924,Full-time,Debt Consolidation,0
51009.67,8146.35,699,0.2985,1,72.6,8.4,0.104,0.0656,Full-time,Debt Consolidation,0
51739.8,30479.41,603,0.259,1,64.2,11.4,0.2006,0.156,Full-time,Education,0
71124.76,4461.88,658,0.0897,0,91.3,6.1,0.0241,0.05,Full-time,Major Purchase,0
73406.42,56915.41,526,0.3944,1,54.1,5.9,0.2411,0.2077,Full-time,Home Improvement,1
61496.58,9766.64,671,0.3793,1,67.9,7.1,0.102,0.0855,Part-time,Home Improvement,0
111823.18,13754.66,699,0.1779,1,94.5,6.3,0.0517,0.0533,Full-time,Business,0
49137.32,6755.69,592,0.2238,0,89.4,14.9,0.0658,0.0769,Self-employed,Education,0
102314.09,2576.54,519,0.0989,1,32.1,10.1,0.0247,0.05,Full-time,Debt Consolidation,0
60158.23,7665.73,669,0.5227,0,60.6,6.8,0.0931,0.05,Full-time,Home Improvement,0
54005.94,7921.05,545,0.1323,0,84.5,10.0,0.0528,0.0724,Full-time,Debt Consolidation,0
39699.2,31759.36,598,0.852,0,61.7,7.4,0.3465,0.2291,,Debt Consolidation,1
33492.04,17227.43,692,0.1019,0,70.7,2.2,0.1454,0.2189,Full-time,Home Improvement,0
107834.68,3158.61,730,0.1832,2,74.4,6.6,0.0415,0.05,Full-time,Debt Consolidation,0
69137.1,55309.68,592,0.3045,0,57.7,7.7,0.2237,0.3405,Self-employed,Debt Consolidation,1
97039.29,16377.94,676,0.0652,0,97.9,6.5,0.0453,0.0987,Part-time,Home Improvement,0
40594.99,3536.24,701,0.2064,0,61.3,5.4,0.0575,0.05,Full-time,Education,0
55040.89,44032.71,614,0.2001,1,69.7,1.5,0.24,0.4208,Full-time,Business,1
22500.62,18000.5,758,0.5484,0,100.0,15.0,0.3675,0.3429,Full-time,Education,0
67647.49,20805.38,628,0.5463,0,75.9,4.3,0.132,0.0752,Unemployed,Home Improvement,1
41056.11,32844.89,621,0.2211,0,59.1,7.9,0.2308,0.2257,Part-time,Education,0
62852.91,50282.33,530,0.2062,0,74.4,4.7,0.2156,0.2065,Full-time,Debt Consolidation,0
25790.5,4786.98,573,0.3217,0,78.7,6.5,0.1344,0.0591,Full-time,Business,1
114531.68,12841.16,609,0.3621,0,53.0,7.8,0.0497,0.05,Self-employed,Debt Consolidation,0
51355.78,3062.23,770,0.0477,0,78.5,3.1,0.021,0.05,Full-time,Major Purchase,0
49171.22,30247.42,620,0.0902,1,80.3,3.2,0.1852,0.176,Self-employed,Debt Consolidation,0
52708.54,28814.13,690,0.2149,0,76.8,7.7,0.1606,0.2011,Full-time,Major Purchase,0
89733.96,71787.17,709,0.3109,1,70.4,3.5,0.2303,0.316,Full-time,Business,0
31017.1,13651.14,621,0.0764,0,54.8,10.7,0.1234,0.1279,Part-time,Debt Consolidation,0
78073.57,22519.75,795,0.2023,1,100.0,2.4,0.1033,0.0908,Self-employed,Education,0
18971.19,6589.04,652,0.1895,0,75.7,3.1,0.1553,0.1311,Full-time,Debt Consolidation,0
158510.27,31694.68,454,0.1242,0,46.2,11.0,0.0536,0.0726,Self-employed,Debt Consolidation,0
46385.25,21577.75,672,0.1822,0,49.3,6.2,0.1399,0.2036,Full-time,Major Purchase,0
83462.61,18701.64,824,0.3461,0,100.0,5.8,0.0836,0.0731,Part-time,Debt Consolidation,0
34362.19,11183.77,547,0.1795,0,47.0,4.0,0.1157,0.0813,Full-time,Debt Consolidation,0
32155.34,25724.27,670,0.1575,1,69.2,8.0,0.2646,0.2318,Part-time,Major Purchase,0
83355.29,23267.9,666,0.3547,1,51.4,7.9,0.112,0.0851,Full-time,Debt Consolidation,0
